input file = ./src/day_1/input.txt
22255: 0 : 519
53938: 0 : 519
59827: 0 : 519
19897: 0 : 519
21580: 0 : 519
98670: 0 : 519
30610: 0 : 519
26480: 0 : 519
58302: 0 : 519
10186: 0 : 519
25733: 0 : 519
90496: 0 : 519
57574: 0 : 519
75082: 0 : 519
68050: 0 : 519
95800: 0 : 519
29648: 0 : 519
19383: 0 : 519
61592: 0 : 519
62079: 0 : 519
85797: 0 : 519
16788: 0 : 519
47473: 0 : 519
80218: 0 : 519
39874: 0 : 519
47141: 0 : 519
53452: 0 : 519
79962: 0 : 519
67042: 0 : 519
59990: 0 : 519
11693: 0 : 519
51276: 0 : 519
41964: 0 : 519
40395: 0 : 519
11876: 0 : 519
59641: 0 : 519
19425: 0 : 519
20188: 0 : 519
95609: 0 : 519
57336: 0 : 519
15696: 0 : 519
26312: 0 : 519
16368: 0 : 519
35548: 0 : 519
35745: 0 : 519
68434: 0 : 519
19565: 0 : 519
56227: 0 : 519
50840: 0 : 519
83531: 0 : 519
14599: 0 : 519
11393: 13 : 519
23853: 0 : 519
91678: 0 : 519
38267: 0 : 519
38544: 0 : 519
77253: 0 : 519
89121: 0 : 519
67751: 0 : 519
87300: 0 : 519
60498: 0 : 519
62264: 0 : 519
27757: 0 : 519
57645: 0 : 519
62401: 0 : 519
56106: 0 : 519
12731: 0 : 519
44722: 0 : 519
91196: 0 : 519
68294: 0 : 519
21236: 0 : 519
56091: 0 : 519
95190: 0 : 519
11623: 0 : 519
48029: 0 : 519
75215: 0 : 519
63653: 0 : 519
90750: 0 : 519
55363: 0 : 519
51846: 0 : 519
82768: 0 : 519
60454: 0 : 519
30738: 0 : 519
81875: 0 : 519
28465: 2 : 519
82698: 0 : 519
11456: 0 : 519
23682: 0 : 519
44397: 0 : 519
61889: 0 : 519
30032: 0 : 519
64013: 0 : 519
84426: 4 : 519
26980: 0 : 519
64860: 0 : 519
74588: 0 : 519
91532: 0 : 519
24703: 0 : 519
42595: 0 : 519
41536: 0 : 519
13088: 0 : 519
39013: 0 : 519
11755: 0 : 519
56818: 0 : 519
32858: 0 : 519
84657: 0 : 519
24582: 0 : 519
16242: 0 : 519
29416: 0 : 519
14164: 0 : 519
93253: 0 : 519
25334: 0 : 519
85079: 0 : 519
21760: 0 : 519
39798: 0 : 519
70502: 0 : 519
54733: 0 : 519
20458: 0 : 519
30244: 0 : 519
12167: 0 : 519
65939: 0 : 519
50424: 0 : 519
31259: 0 : 519
28620: 0 : 519
69033: 0 : 519
87009: 4 : 519
12205: 0 : 519
59850: 0 : 519
29658: 0 : 519
55549: 0 : 519
70998: 0 : 519
90525: 0 : 519
95042: 0 : 519
72214: 0 : 519
38024: 0 : 519
72537: 0 : 519
65372: 0 : 519
93459: 0 : 519
80439: 0 : 519
15816: 0 : 519
92702: 0 : 519
12186: 0 : 519
33530: 0 : 519
74015: 0 : 519
86270: 0 : 519
40653: 0 : 519
37009: 0 : 519
46134: 0 : 519
67737: 0 : 519
39701: 0 : 519
61838: 0 : 519
68704: 0 : 519
16143: 0 : 519
43026: 0 : 519
13264: 0 : 519
21279: 0 : 519
60692: 0 : 519
32609: 0 : 519
53785: 0 : 519
46679: 0 : 519
16694: 0 : 519
95437: 0 : 519
64409: 0 : 519
45429: 0 : 519
71827: 0 : 519
92509: 0 : 519
35989: 0 : 519
88207: 0 : 519
25183: 0 : 519
38480: 0 : 519
42788: 0 : 519
36316: 0 : 519
80414: 0 : 519
53989: 0 : 519
11982: 0 : 519
18834: 0 : 519
38985: 0 : 519
28130: 0 : 519
45289: 0 : 519
77988: 0 : 519
79408: 0 : 519
53629: 0 : 519
25874: 0 : 519
45381: 0 : 519
25185: 0 : 519
40503: 0 : 519
75168: 0 : 519
92975: 0 : 519
90146: 0 : 519
16902: 0 : 519
25737: 0 : 519
83217: 0 : 519
32384: 0 : 519
17180: 0 : 519
49584: 0 : 519
70432: 0 : 519
78356: 0 : 519
28401: 0 : 519
48258: 0 : 519
50893: 0 : 519
83074: 0 : 519
75864: 0 : 519
71814: 0 : 519
76903: 0 : 519
12932: 0 : 519
45698: 17 : 519
10967: 0 : 519
79322: 0 : 519
92384: 0 : 519
36188: 0 : 519
63204: 0 : 519
30242: 0 : 519
42360: 0 : 519
52125: 0 : 519
81070: 0 : 519
91705: 0 : 519
14635: 0 : 519
51694: 0 : 519
34345: 0 : 519
73936: 0 : 519
46626: 0 : 519
50035: 0 : 519
87226: 0 : 519
77601: 0 : 519
47057: 0 : 519
86251: 16 : 519
14989: 0 : 519
15241: 0 : 519
37199: 0 : 519
46414: 0 : 519
20918: 0 : 519
24968: 0 : 519
90225: 0 : 519
21399: 0 : 519
82646: 0 : 519
98158: 0 : 519
77378: 0 : 519
40154: 0 : 519
73541: 0 : 519
13018: 0 : 519
64759: 0 : 519
97324: 0 : 519
16278: 0 : 519
15116: 0 : 519
95243: 0 : 519
95448: 0 : 519
13673: 0 : 519
18264: 0 : 519
46045: 0 : 519
48121: 0 : 519
68569: 0 : 519
67574: 0 : 519
91713: 0 : 519
54247: 0 : 519
13014: 0 : 519
86817: 0 : 519
15131: 0 : 519
24065: 0 : 519
43839: 0 : 519
61766: 0 : 519
34019: 0 : 519
41601: 0 : 519
48837: 0 : 519
99355: 0 : 519
49433: 0 : 519
38003: 0 : 519
51991: 0 : 519
82346: 0 : 519
11431: 0 : 519
95885: 0 : 519
40970: 0 : 519
72666: 0 : 519
32203: 0 : 519
58344: 0 : 519
30456: 0 : 519
16176: 0 : 519
41719: 0 : 519
44063: 0 : 519
26829: 0 : 519
75364: 0 : 519
50921: 0 : 519
36448: 0 : 519
26024: 0 : 519
59151: 9 : 519
66416: 0 : 519
67290: 0 : 519
11545: 0 : 519
15758: 0 : 519
63215: 0 : 519
18656: 0 : 519
94584: 0 : 519
47338: 0 : 519
17409: 0 : 519
76753: 0 : 519
48823: 0 : 519
61094: 0 : 519
77296: 0 : 519
35793: 0 : 519
43206: 0 : 519
47331: 0 : 519
51468: 0 : 519
12296: 0 : 519
12414: 0 : 519
41240: 0 : 519
57023: 0 : 519
75203: 0 : 519
75725: 8 : 519
52578: 0 : 519
91988: 0 : 519
84112: 0 : 519
99275: 0 : 519
69482: 0 : 519
30938: 0 : 519
14352: 0 : 519
20692: 0 : 519
44135: 1 : 519
88379: 0 : 519
27149: 0 : 519
26757: 0 : 519
88157: 0 : 519
14882: 0 : 519
13243: 0 : 519
79963: 0 : 519
26632: 0 : 519
93056: 19 : 519
55267: 0 : 519
58720: 0 : 519
77348: 0 : 519
61518: 0 : 519
72161: 0 : 519
82704: 0 : 519
83349: 0 : 519
71756: 0 : 519
19798: 0 : 519
24577: 5 : 519
30646: 8 : 519
38881: 0 : 519
61087: 0 : 519
21051: 0 : 519
66839: 0 : 519
76054: 0 : 519
79383: 0 : 519
42302: 0 : 519
17098: 0 : 519
16351: 0 : 519
18935: 0 : 519
85783: 0 : 519
85892: 0 : 519
78335: 0 : 519
53645: 0 : 519
21880: 0 : 519
82806: 0 : 519
84078: 0 : 519
20318: 0 : 519
84605: 0 : 519
29733: 0 : 519
41215: 0 : 519
79310: 0 : 519
56146: 0 : 519
89201: 0 : 519
91400: 0 : 519
52161: 0 : 519
27770: 12 : 519
92588: 0 : 519
68559: 0 : 519
81250: 0 : 519
65808: 0 : 519
71767: 0 : 519
99164: 0 : 519
13011: 0 : 519
59353: 0 : 519
38545: 0 : 519
34222: 0 : 519
57286: 0 : 519
17060: 0 : 519
46263: 0 : 519
49915: 0 : 519
30406: 0 : 519
35677: 0 : 519
37131: 0 : 519
79435: 0 : 519
26388: 0 : 519
32292: 0 : 519
20643: 0 : 519
18988: 0 : 519
33107: 0 : 519
77560: 9 : 519
20023: 0 : 519
45741: 0 : 519
25421: 0 : 519
94668: 0 : 519
59085: 0 : 519
49657: 0 : 519
72995: 0 : 519
73961: 0 : 519
63734: 0 : 519
43502: 0 : 519
65053: 0 : 519
92259: 0 : 519
62767: 0 : 519
13919: 0 : 519
63191: 18 : 519
65779: 0 : 519
90260: 0 : 519
70571: 0 : 519
91121: 0 : 519
53024: 0 : 519
51576: 0 : 519
56611: 0 : 519
80865: 0 : 519
69315: 0 : 519
24970: 0 : 519
25850: 0 : 519
53891: 0 : 519
61794: 0 : 519
24867: 0 : 519
31512: 0 : 519
67070: 0 : 519
47597: 0 : 519
61800: 14 : 519
56391: 0 : 519
82910: 0 : 519
47927: 0 : 519
15127: 0 : 519
60062: 0 : 519
24710: 0 : 519
65683: 0 : 519
31859: 0 : 519
86178: 0 : 519
27190: 0 : 519
46737: 0 : 519
57993: 0 : 519
29496: 7 : 519
55241: 0 : 519
75930: 0 : 519
82093: 0 : 519
61078: 0 : 519
70317: 0 : 519
17282: 0 : 519
50078: 0 : 519
80586: 0 : 519
15256: 0 : 519
31072: 0 : 519
32649: 0 : 519
63456: 0 : 519
92877: 3 : 519
26487: 0 : 519
93787: 0 : 519
93917: 0 : 519
58929: 0 : 519
18446: 0 : 519
58234: 0 : 519
31018: 0 : 519
51039: 0 : 519
35994: 0 : 519
62720: 11 : 519
92875: 0 : 519
41113: 0 : 519
13554: 0 : 519
34612: 0 : 519
73576: 0 : 519
86370: 0 : 519
92281: 0 : 519
72079: 0 : 519
29297: 0 : 519
78957: 0 : 519
62569: 0 : 519
95227: 0 : 519
14960: 0 : 519
17707: 0 : 519
54526: 0 : 519
11126: 0 : 519
52605: 15 : 519
37056: 0 : 519
92300: 0 : 519
80558: 0 : 519
26722: 0 : 519
49592: 0 : 519
40299: 0 : 519
56671: 0 : 519
12293: 0 : 519
67926: 0 : 519
76702: 0 : 519
83280: 0 : 519
76112: 0 : 519
86991: 0 : 519
74123: 0 : 519
14648: 0 : 519
29509: 0 : 519
31511: 0 : 519
32007: 0 : 519
73362: 0 : 519
86369: 0 : 519
29534: 0 : 519
90489: 0 : 519
92982: 0 : 519
29793: 0 : 519
68315: 0 : 519
33590: 0 : 519
96685: 0 : 519
53833: 0 : 519
17589: 0 : 519
31304: 0 : 519
98051: 0 : 519
98663: 0 : 519
24677: 0 : 519
10614: 0 : 519
43354: 0 : 519
41114: 0 : 519
56765: 0 : 519
75113: 0 : 519
13234: 0 : 519
35457: 0 : 519
45549: 0 : 519
62000: 0 : 519
66454: 0 : 519
47203: 0 : 519
37728: 0 : 519
74209: 0 : 519
70506: 0 : 519
65647: 0 : 519
76419: 0 : 519
91359: 0 : 519
26799: 11 : 519
63507: 0 : 519
89591: 0 : 519
98792: 0 : 519
39490: 0 : 519
47905: 0 : 519
18334: 0 : 519
80842: 0 : 519
17428: 0 : 519
96248: 0 : 519
61363: 0 : 519
67610: 0 : 519
42768: 0 : 519
47293: 0 : 519
61688: 0 : 519
28153: 0 : 519
52443: 0 : 519
20625: 0 : 519
79270: 0 : 519
70651: 0 : 519
87917: 0 : 519
16787: 0 : 519
17367: 0 : 519
81331: 0 : 519
71782: 0 : 519
52476: 0 : 519
66814: 0 : 519
55671: 0 : 519
72679: 0 : 519
98037: 0 : 519
16657: 0 : 519
36425: 0 : 519
46928: 0 : 519
78412: 0 : 519
87897: 0 : 519
92330: 0 : 519
17522: 0 : 519
84317: 0 : 519
66212: 0 : 519
61152: 0 : 519
90999: 0 : 519
41707: 0 : 519
77665: 0 : 519
47059: 0 : 519
92074: 0 : 519
94528: 0 : 519
11274: 0 : 519
30587: 0 : 519
65607: 0 : 519
75123: 0 : 519
14585: 0 : 519
90643: 0 : 519
38955: 0 : 519
43161: 0 : 519
65816: 0 : 519
88260: 0 : 519
95552: 0 : 519
70136: 0 : 519
19254: 13 : 519
21625: 0 : 519
75980: 0 : 519
28477: 0 : 519
30176: 0 : 519
40545: 0 : 519
22315: 0 : 519
15219: 0 : 519
18515: 0 : 519
74291: 0 : 519
76689: 0 : 519
16785: 0 : 519
75220: 0 : 519
78836: 17 : 519
45105: 0 : 519
82468: 0 : 519
89327: 0 : 519
94333: 20 : 519
97509: 0 : 519
98989: 0 : 519
78447: 0 : 519
36472: 0 : 519
32160: 0 : 519
38398: 0 : 519
86832: 0 : 519
79186: 0 : 519
59922: 0 : 519
18254: 0 : 519
10461: 6 : 519
68038: 0 : 519
85215: 0 : 519
27748: 0 : 519
67710: 0 : 519
32437: 0 : 519
44694: 0 : 519
16862: 0 : 519
74684: 0 : 519
65265: 0 : 519
49013: 0 : 519
15008: 0 : 519
74569: 0 : 519
33830: 0 : 519
77472: 0 : 519
69878: 0 : 519
29652: 14 : 519
37476: 0 : 519
51792: 0 : 519
61978: 0 : 519
33881: 0 : 519
75302: 0 : 519
12981: 0 : 519
53661: 0 : 519
66925: 0 : 519
14018: 0 : 519
75786: 0 : 519
96409: 0 : 519
48462: 0 : 519
43054: 0 : 519
69691: 0 : 519
57088: 0 : 519
84087: 0 : 519
93425: 0 : 519
40919: 12 : 519
16457: 0 : 519
54028: 0 : 519
72853: 0 : 519
36575: 0 : 519
38484: 0 : 519
52719: 0 : 519
43258: 20 : 519
79708: 0 : 519
45656: 0 : 519
66798: 0 : 519
55425: 0 : 519
84846: 0 : 519
61839: 15 : 519
42337: 0 : 519
52063: 0 : 519
59712: 0 : 519
24160: 0 : 519
29546: 0 : 519
78007: 0 : 519
86223: 0 : 519
65423: 0 : 519
92609: 0 : 519
79797: 0 : 519
25390: 0 : 519
50406: 0 : 519
65064: 0 : 519
41834: 0 : 519
84781: 0 : 519
87694: 0 : 519
90859: 0 : 519
47761: 0 : 519
53321: 0 : 519
72586: 0 : 519
89851: 0 : 519
61780: 0 : 519
93541: 0 : 519
30161: 0 : 519
55648: 0 : 519
79183: 0 : 519
61640: 0 : 519
12292: 0 : 519
52027: 0 : 519
89552: 0 : 519
13465: 0 : 519
87747: 0 : 519
93930: 0 : 519
29575: 0 : 519
44198: 0 : 519
61857: 0 : 519
13119: 0 : 519
70437: 0 : 519
12892: 0 : 519
22139: 0 : 519
40775: 0 : 519
50257: 0 : 519
56942: 0 : 519
64937: 0 : 519
28344: 0 : 519
41091: 0 : 519
67584: 0 : 519
69509: 0 : 519
95670: 0 : 519
12600: 0 : 519
22912: 0 : 519
61299: 0 : 519
32393: 0 : 519
41919: 0 : 519
26505: 0 : 519
75712: 0 : 519
10122: 0 : 519
44665: 0 : 519
51476: 0 : 519
95416: 0 : 519
36041: 0 : 519
75505: 0 : 519
54951: 0 : 519
19538: 0 : 519
20419: 0 : 519
83853: 0 : 519
30142: 0 : 519
40440: 0 : 519
47888: 20 : 519
16724: 0 : 519
24304: 0 : 519
25988: 0 : 519
87275: 0 : 519
37242: 0 : 519
16600: 0 : 519
87141: 0 : 519
29251: 0 : 519
77229: 0 : 519
44031: 0 : 519
24219: 0 : 519
32312: 0 : 519
13556: 0 : 519
55685: 0 : 519
88088: 0 : 519
19490: 18 : 519
11326: 0 : 519
85722: 0 : 519
58006: 0 : 519
12497: 0 : 519
42757: 5 : 519
50122: 0 : 519
76064: 0 : 519
16999: 0 : 519
34564: 0 : 519
86068: 0 : 519
35182: 0 : 519
92271: 0 : 519
20052: 0 : 519
11216: 0 : 519
21257: 0 : 519
30551: 0 : 519
31736: 0 : 519
92893: 0 : 519
58420: 0 : 519
59054: 0 : 519
15717: 0 : 519
55894: 0 : 519
65806: 0 : 519
40985: 0 : 519
67041: 12 : 519
77797: 0 : 519
37369: 0 : 519
61308: 0 : 519
36501: 0 : 519
80381: 0 : 519
84132: 0 : 519
99233: 0 : 519
32462: 0 : 519
63526: 0 : 519
21158: 0 : 519
22036: 0 : 519
20212: 0 : 519
32741: 0 : 519
68378: 0 : 519
91913: 0 : 519
81780: 0 : 519
88545: 0 : 519
93067: 0 : 519
19289: 0 : 519
45888: 0 : 519
19555: 19 : 519
18124: 0 : 519
51588: 9 : 519
65476: 0 : 519
68130: 0 : 519
81209: 0 : 519
46293: 0 : 519
63925: 0 : 519
80962: 0 : 519
16989: 0 : 519
56338: 0 : 519
77462: 0 : 519
81747: 0 : 519
61032: 0 : 519
73708: 0 : 519
43733: 0 : 519
61245: 0 : 519
30289: 0 : 519
73486: 0 : 519
32285: 0 : 519
25701: 0 : 519
40166: 0 : 519
70212: 0 : 519
79734: 0 : 519
17389: 0 : 519
51306: 0 : 519
43193: 0 : 519
93481: 0 : 519
16309: 0 : 519
40214: 0 : 519
77770: 0 : 519
81492: 0 : 519
73703: 0 : 519
89712: 0 : 519
25079: 0 : 519
32039: 0 : 519
29918: 0 : 519
31759: 0 : 519
73802: 0 : 519
71771: 0 : 519
83725: 0 : 519
89951: 0 : 519
66344: 0 : 519
69963: 0 : 519
12316: 0 : 519
41697: 0 : 519
73631: 0 : 519
26374: 0 : 519
88412: 0 : 519
13779: 0 : 519
25522: 0 : 519
23051: 0 : 519
64426: 0 : 519
23062: 10 : 519
73586: 0 : 519
42658: 0 : 519
76411: 0 : 519
79881: 0 : 519
16089: 0 : 519
41192: 0 : 519
17235: 0 : 519
66944: 0 : 519
31147: 0 : 519
98568: 0 : 519
55826: 0 : 519
61910: 0 : 519
70339: 0 : 519
51778: 0 : 519
69511: 0 : 519
91379: 0 : 519
74832: 0 : 519
15753: 0 : 519
32010: 0 : 519
22941: 0 : 519
47061: 0 : 519
52479: 0 : 519
65912: 0 : 519
26568: 0 : 519
43720: 0 : 519
25063: 0 : 519
74685: 0 : 519
25784: 0 : 519
41995: 0 : 519
50441: 0 : 519
38303: 0 : 519
39662: 0 : 519
41177: 0 : 519
64359: 15 : 519
15138: 0 : 519
48934: 0 : 519
27041: 0 : 519
87536: 0 : 519
68138: 0 : 519
73127: 0 : 519
45913: 0 : 519
34128: 0 : 519
24861: 0 : 519
38659: 0 : 519
71392: 0 : 519
66807: 19 : 519
32811: 8 : 519
54882: 0 : 519
Day 1 part 2 answer, Sum is 519
